Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6
0:00,0.1,0.2,0.3,0.4,0.5,0.6
0:15,0.2,0.5,0.7,0.1,0.8,0.7
0:30,0.3,0.4,0.5,0.6,0.7,0.8
0:45,0.4,0.5,0.6,0.7,0.8,0.9
1:00,0.5,0.6,0.7,0.8,0.9,1
1:15,0.5,0.6,0.7,0.8,0.9,1
1:30,0.5,0.6,0.7,0.8,0.9,1
1:45,0.5,0.6,0.7,0.8,0.9,1
2:00,0.528888441,0.675189174,0.771325104,0.878164128,0.94764166,1.077362516
2:15,0.585861437,0.649209765,0.736129305,0.86387015,0.918018392,1.091982169
2:30,0.554766305,0.696622593,0.73181351,0.873454919,0.922069652,1.017079137
2:45,0.578084025,0.677364097,0.764610925,0.823193557,0.986032392,1.036228938
3:00,0.5077196,0.685414849,0.795732324,0.817300397,0.973202699,1.006253478
3:15,0.519601925,0.653617685,0.755759148,0.858702831,0.946802876,1.001295787
3:30,0.547914869,0.61766294,0.793283152,0.80159368,0.992909146,1.078810507
3:45,0.555999176,0.600105394,0.744342983,0.805480685,0.991899461,1.03628187
4:00,0.576095394,0.615104852,0.772131709,0.898096447,0.914762899,1.046783092
4:15,0.515937494,0.670851141,0.710789503,0.801691755,0.952439414,1.068248569
4:30,0.584348328,0.618571162,0.71975215,0.856082057,0.996396506,1.016080417
4:45,0.599601523,0.609148121,0.705505811,0.859029568,0.904724745,1.030469587
5:00,0.514463307,0.65402957,0.799587649,0.859292396,0.979305057,1.031160341
5:15,0.527695385,0.631773167,0.7276928,0.811119938,0.955623893,1.018808948
5:30,0.539206879,0.656725449,0.738391791,0.842373481,0.903172037,1.03710328
5:45,0.582889841,0.666132912,0.769062798,0.838606199,0.979977328,1.082674227
6:00,0.596003061,0.652857081,0.731980164,0.870514084,0.976258431,1.065746906
6:15,0.553046604,0.615529243,0.783843401,0.86602822,0.979945124,1.080079702
6:30,0.524721096,0.615446113,0.755043273,0.846302524,0.922479884,1.013167184
6:45,0.572102403,0.640039472,0.726823178,0.872670111,0.958538339,1.041687018
7:00,0.567816949,0.655431066,0.72336211,0.853159131,0.946167075,1.082808822
7:15,0.559401202,0.668487066,0.737209692,0.862058409,0.984233513,1.046327981
7:30,0.527218041,0.68624214,0.783200768,0.857288106,0.950836155,1.01974043
7:45,0.575192155,0.660223686,0.701815507,0.820294948,0.961216061,1.093204539
8:00,0.555793028,0.651319107,0.785724686,0.855339011,0.917794396,1.019704046
8:15,0.519486031,0.6605567,0.750893636,0.84437624,0.989354797,1.083768646
8:30,0.557460288,0.640257021,0.795211601,0.893029983,0.946701018,1.067963858
8:45,0.503438331,0.623038287,0.714681225,0.841084981,0.963025612,1.05177588
9:00,0.509603387,0.617870146,0.775102063,0.842868994,0.97709911,1.052442027
9:15,0.57190951,0.61599407,0.702558803,0.807618897,0.99201086,1.068616773
9:30,0.562131239,0.632531754,0.798442597,0.846148177,0.943669811,1.065847467
9:45,0.535391463,0.65299429,0.727686706,0.894029872,0.931910491,1.081017623
10:00,0.548883734,0.600836815,0.770847477,0.842828155,0.976664935,1.043750069
10:15,0.538897593,0.62944035,0.761022527,0.814399405,0.924553799,1.04482131
10:30,0.539190224,0.637675051,0.748618385,0.859491573,0.915832041,1.000497938
10:45,0.572093554,0.621297564,0.7200251,0.833692216,0.954874246,1.072229353
11:00,0.511573713,0.622681979,0.781589891,0.85370706,0.985573421,1.05514706
11:15,0.516074017,0.682368338,0.727473797,0.840967776,0.924338551,1.002000531
11:30,0.583176778,0.613311547,0.762778178,0.804824284,0.904316699,1.038218877
11:45,0.561220768,0.674152994,0.741312424,0.828497552,0.900821803,1.098929227
12:00,0.538783878,0.635598828,0.751699121,0.823997386,0.911064115,1.068246369
12:15,0.585040106,0.620020912,0.760481947,0.818250864,0.964252584,1.016834218
12:30,0.579198296,0.677879873,0.712735897,0.885235816,0.947229767,1.026053364
12:45,0.581109133,0.64605399,0.773060042,0.821703974,0.910912267,1.067908207
13:00,0.52967783,0.660718377,0.786894142,0.854387168,0.949724778,1.098396853
13:15,0.553028815,0.676205485,0.733020856,0.881256934,0.934588838,1.035588843
13:30,0.555747402,0.654203871,0.799465554,0.819404838,0.987020123,1.015039628
13:45,0.554911325,0.656080619,0.709114677,0.817673019,0.944794914,1.034340704
14:00,0.583390111,0.699752002,0.79727516,0.800799838,0.924673317,1.089911044
14:15,0.547342639,0.653772953,0.797353679,0.823069529,0.917494219,1.016051781
14:30,0.571817412,0.644432464,0.756185702,0.860927822,0.9285524,1.033100586
14:45,0.571402956,0.661403606,0.757041011,0.842176445,0.981617545,1.026151489
15:00,0.567758154,0.637234044,0.764272145,0.874433272,0.964564233,1.005873239
15:15,0.581702435,0.695742795,0.79889233,0.869853462,0.917318536,1.099813052
15:30,0.539204817,0.699364769,0.761238232,0.807163773,0.909950539,1.097210176
15:45,0.522638988,0.669319905,0.722565443,0.877697812,0.962487273,1.002965244
16:00,0.543595519,0.636128142,0.765031017,0.840645826,0.941537102,1.050017309
16:15,0.535996332,0.65002231,0.717396957,0.879253122,0.913613717,1.06930908
16:30,0.52384569,0.672885967,0.791317268,0.883887399,0.909482148,1.032029029
16:45,0.515895115,0.653577428,0.712590323,0.836658646,0.938101004,1.007020055
17:00,0.510923626,0.601747184,0.785703352,0.890995495,0.948782614,1.095287439
17:15,0.579003511,0.686518399,0.713060407,0.873695423,0.958553281,1.099396961
17:30,0.535806449,0.665696826,0.729895948,0.824040117,0.937964237,1.080323427
17:45,0.554939556,0.680279804,0.733581612,0.836716684,0.925136235,1.02415904
18:00,0.528702004,0.662652496,0.717663106,0.861948332,0.983492816,1.019083722
18:15,0.584256575,0.646113901,0.712639637,0.800092283,0.973404614,1.065266247
18:30,0.596299676,0.672689054,0.786182242,0.847335766,0.930156535,1.045973071
18:45,0.595092538,0.637907328,0.735063739,0.85346837,0.909701528,1.032292289
19:00,0.516023199,0.634218228,0.717141187,0.859961851,0.925965932,1.086624249
19:15,0.544864595,0.670207927,0.784939713,0.841364419,0.917600492,1.093453317
19:30,0.540133766,0.618387989,0.79699209,0.883420542,0.974195855,1.044971544
19:45,0.529557221,0.619311559,0.797335466,0.832999746,0.935992261,1.059407065
20:00,0.56223363,0.664875739,0.703659255,0.878098528,0.90872933,1.086328307
20:15,0.548853222,0.615150534,0.706164941,0.839997012,0.949845776,1.059619155
20:30,0.585773005,0.69605301,0.799707619,0.883411449,0.963955354,1.044454925
